int,int,enum,enum,float,float,int,enum,enum,int,enum,int,enum,string,string
ID,CardID,SkillType,SkillSource,EffectValue,UpgradeEffectValue,HitCount,StatusType,Trigger,TriggerConditionValue,TargetType,TargetCount,TargetSource,#CardText,Sound
0,0,E_DEFAULT,E_NONE,0,0,0,E_NONE,E_DEFAULT,0,E_NONE,0,E_NONE,"""없음""","""없음"""
1,1,E_HEAL,E_NONE,0.5,1.5,1,E_NONE,E_DEFAULT,0,E_ALLIES,99,E_HP,"""스킬 사용 시 즉시 아군 전체 힐 (및 디버프 해제)""","""없음"""
2,1,E_ETC,E_NONE,0,2,1,E_NONE,E_CARD_USE,0,E_ALLIES,99,E_NONE,"""스킬 사용 시 즉시 아군 전체 (힐 및) 디버프 해제""","""없음"""
3,2,E_INCREASE,E_AETHER,99,3,0,E_NONE,E_CARD_USE,0,E_SELF,0,E_AETHER,"""에테르를 즉시 최대치까지 회복""","""없음"""
4,3,E_DEBUFF,E_DEF,0.4,0.5,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_DEF,"""모든 적의 방어력을 40% 감소""","""없음"""
5,4,E_DEBUFF,E_NONE,2,2,1,E_NONE,E_CARD_USE,0,E_SELF,1,E_NONE,"""2턴 간 공격 카드 사용 시 적 전체에게 공격력의 150%로 피해를 가하는 추가 공격 발동""","""없음"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1001,1001,E_DAMAGE,E_ATK,1,1.5,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 100%의 피해를 입힌다.""","""없음"""
1002,1002,E_DAMAGE,E_ATK,1.5,2,1,E_NONE,E_CARD_USE,0,E_ENEMY,3,E_HP,"""적 3명에게 공격력의 150%의 피해를 입힌다.""","""없음"""
1003,1003,E_DAMAGE,E_ATK,2,3,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,적 1명에게 공격력의 200%의 피해를 입힌다.,"""없음"""
1004,1004,E_DAMAGE,E_ATK,1.5,2,1,E_BLEED,E_CARD_USE,0,E_ENEMY,3,E_HP,"""적 3명에게 공격력의 150%의 피해를 입히고, 출혈을 부여한다.""","""없음"""
1005,1005,E_DAMAGE,E_ATK,1.2,1.7,1,E_NONE,E_CARD_USE,0,E_ENEMY,2,E_HP,"""적 2명에게 공격력의 120%의 피해를 입힌다. (입힌 피해의 50%를 회복한다.)""","""없음"""
1006,1005,E_HEAL,E_DAMAGED_INFLICTED,0.5,0,1,E_NONE,E_CARD_USE,0,E_SELF,1,E_DAMAGED_INFLICTED,"""(적 2명에게 공격력의 120%의 피해를 입힌다.) 입힌 피해의 50%를 회복한다.""","""없음"""
1007,1006,E_DAMAGE,E_ATK,0.8,1.3,2,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 80%의 피해를 2회 입힌다.""","""없음"""
1008,1007,E_INCREASE,E_AETHER,2,3,0,E_NONE,E_CARD_USE,0,E_SELF,0,E_AETHER,"""에테르를 2 회복한다.""","""없음"""
1009,1008,E_DRAW,E_DECK,2,3,0,E_NONE,E_CARD_USE,0,E_SELF,0,E_DECK,"""카드를 2장 드로우한다.""","""없음"""
1010,1009,E_INCREASE,E_ATK,0.4,0.6,1,E_NONE,E_CARD_USE,0,E_SELF,1,E_DEF,"""본인의 방어력이 40% 증가한다.""","""없음"""
1011,1010,E_DAMAGE,E_ATK,1.2,1.5,1,E_BLEED,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 120% 피해를 입히고, 출혈을 부여한다.""","""없음"""
1012,1011,E_DAMAGE,E_ATK,0.9,1.1,2,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 90% 피해를 2회 입힌다.""","""없음"""
1013,1012,E_INCREASE,E_SPEED,3,5,1,E_NONE,E_CARD_USE,0,E_SELF,1,E_SPEED,"""본인의 속도가 3 증가하고, (카드를 1장 드로우한다.)""","""없음"""
1014,1012,E_DRAW,E_DECK,1,1,0,E_NONE,E_CARD_USE,0,E_SELF,0,E_DECK,"""(본인의 속도가 3 증가하고,) 카드를 1장 드로우한다.""","""없음"""
1015,1013,E_DAMAGE,E_ATK,1,1.3,1,E_NONE,E_CARD_USE,0,E_ENEMY,99,E_HP,"""적 전체에게 공격력의 100% 피해를 입힌다.""","""없음"""
1016,1014,E_SHIELD,E_DEF,0.3,0.5,1,E_NONE,E_CARD_USE,0,E_ALLIES,1,E_DEF,"""아군 1명에게 방어력의 30%만큼의 실드를 제공한다.""","""없음"""
1017,1015,E_DAMAGE,E_ATK,1,1.2,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 100% 피해를 입히고, 쇼크 스택을 부여한다.""","""없음"""
1018,1016,E_DAMAGE,E_ATK,0.8,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 80%의 피해를 입힌다.""","""없음"""
1019,1017,E_DAMAGE,E_NONE,0,0,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 쇼크 스택을 부여한다.""","""없음"""
1020,1018,E_DAMAGE,E_NONE,0,0,1,E_OVERLOAD,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 오버로드를 부여한다.""","""없음"""
1021,1019,E_DAMAGE,E_ATK,0.8,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 80%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)""","""없음"""
1022,1019,E_CONDITIONAL_DAMAGE,E_ATK,0.2,0.2,1,E_NONE,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,1,E_HP,"""(적 1명에게 공격력의 80%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.""","""없음"""
1023,1020,E_DAMAGE,E_ATK,0.6,0.8,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 60%의 피해를 입히고, 쇼크 스택을 부여한다.""","""없음"""
1024,1021,E_DAMAGE,E_ATK,1.2,1.5,1,E_OVERLOAD,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 120%의 피해를 입히고, 오버로드를 부여한다.""","""없음"""
1025,1022,E_DAMAGE,E_ATK,0.7,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 70%의 피해를 입힌다. (쇼크 상태일 경우 오버로드를 부여한다.)""","""없음"""
1026,1022,E_CONDITIONAL_DAMAGE,E_ATK,0,0,1,E_OVERLOAD,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,1,E_HP,"""(적 1명에게 공격력의 70%의 피해를 입힌다.) 쇼크 상태일 경우 오버로드를 부여한다.""","""없음"""
1027,1023,E_DAMAGE,E_ATK,0.6,0.9,1,E_NONE,E_CARD_USE,0,E_ENEMY,99,E_HP,"""모든 적에게 공격력의 60%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)""","""없음"""
1022,1023,E_CONDITIONAL_DAMAGE,E_ATK,0.4,0.6,1,E_NONE,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,99,E_HP,"""(모든 적에게 공격력의 60%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.""","""없음"""