UnitID,CardID
1,1001
1,1002
1,1003
1,1004
1,1005
1,1006
1,1007
1,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
1,1015
1,1016
1,1017
1,1018
1,1019
1,1020
1,1021
1,1022
1,1023
2,1001
2,1002
2,1003
2,1004
2,1005
2,1006
2,1007
2,1008
2,1009
2,1010
2,1011
2,1012
2,1013
2,1014
2,1015
2,1016
2,1017
2,1018
2,1019
2,1020
2,1021
2,1022
2,1023
3,1001
3,1002
3,1003
3,1004
3,1005
3,1006
3,1007
3,1008
3,1009
3,1010
3,1011
3,1012
3,1013
3,1014
3,1015
3,1016
4,1006
4,1007
4,1008
4,1009
4,1010
4,1011
4,1012
4,1013
4,1014
4,1015
4,1016
4,1017
4,1018
4,1019
4,1020
4,1021
4,1022
4,1023